Q #	overal_risk	gain	pass_advantages	goal_chance	effectiveness_score
Q01a	86.56192064176847	7	0.29719580449776645	49.51738117242242	56.814576976920186
Q01b	6.9305154788026595	3	1.0	50.70086931596903	54.70086931596903
Q01c	10.130057366149183	3	0.7	31.88362023079619	35.58362023079619
Q02a	11.352490421455919	4	0.6	77.45846243368199	82.05846243368198
Q02b	0.0	-3	1.4	11.078095962401106	9.478095962401106
Q02c	17.810198847564976	1	0.7525442082579838	125.98457506321284	127.73711927147083
Q03a	2.0708908509393007	2	1.2072204927733217	2.855327028062083	6.0625475208354045
Q03b	23.68591949811233	6	1.0	219.02590912084779	226.02590912084779
Q03c	3.6339115246429343	0	0.9953108910127225	15.549061326890378	16.5443722179031
Q04a	0.0	-2	1.0	8.707016963797189	7.707016963797189
Q04b	0.0	-2	1.0	2.871722700861735	1.871722700861735
Q04c	0.0	-2	1.0	1.0876182095434297	0.08761820954342969
Q05a	0.0	1	0.8	82.83564000252939	84.63564000252939
Q05b	0.0	2	0.8	124.17098913949296	126.97098913949296
Q05c	156.20537225505572	3	0.27381207027681265	64.08172619452694	67.35553826480376
Q06a	3.4963059451901857	6	2.0	103.78782088170928	111.78782088170928
Q06b	0.0	6	2.0	83.02972024636082	91.02972024636082
Q06c	11.291664371681572	6	2.0	133.46384705425956	141.46384705425956
Q07a	908.3226299063565	-1	1.0464094103308192	2.3746041588053157	-24.21013569136135
Q07b	1736.0636539025388	-3	1.5	7.857456418562373	-63.57456418562373
Q07c	3426.6955203473854	-3	1.0	22.49018277892292	-204.90182778922923
Q08a	5.825006347049683	3	0.46319654907995994	92.64976208124479	96.11295863032475
Q08b	5.256672728677351	2	0.6302542885853054	9.693357170977572	12.323611459562878
Q08c	9.526941142172626	2	0.6302542885853054	26.747443634215124	29.37769792280043
Q09a	26.297231764571208	1	0.8158238562615446	65.69286175351353	67.50868560977507
Q09b	0.0	1	1.3	35.26125173031957	37.56125173031957
Q09c	2.4803187516532503	2	0.9	57.49565599443844	60.395655994438435
Q10a	9.343927675548672	1	0.8	64.27785890762316	66.07785890762315
Q10b	7.930076738927889	1	1.0	1.6530090622540037	3.6530090622540037
Q10c	0.0	1	0.8	5.042922472653597	6.842922472653597
